key,en,fr,it,de,es,tr,tl,ru,ja,pt-br,tok,mis-edikan,mis-meow
StreamsFAQ.Q1.Answer,"Yes you can stream anything relating to the jam you want. e.g. making progress on your game, playing games made by other people, etc.",,"Sì, puoi trasmettere in streaming tutto ciò che riguarda la jam. Ad esempio, i progressi sul tuo gioco, giocare ai giochi realizzati da altre persone, ecc.",,,"Evet jam sırasında jam hakkında herhangi bir şey için canlı yayın açabilirsiniz.
Örnek olarak; oyunu yaparken yayın açmak veya başkalarının oyununu oynamak.",,"Да, вы можете стримить всё, что связано с джемом. Например, процесс создания вашей игры, игру в игры других участников и т.д.",,"Sim, você pode transmitir o que quiser do jam. Por exemplo, fazendo progresso no seu jogo, jogando jogos feito por outras pessoas, etc.",,,"Meow meow meow meow meow meow meow meow meow meow meow. Meow.meow. Meow meow meow meow meow, meow meow meow meow meow meow, meow."
StreamsFAQ.Q2.Number,Q2,,D2,,,S3,,В2,,P2,,,Meow
StreamsFAQ.Q2.Question,How do I show up in the featured streamers section on the sidebar?,,"Come faccio a comparire nella sezione degli ""Streamer in evidenza"" sulla barra laterale?",,,"Yandaki ""öne çıkan yayıncılar"" kısmında nasıl gözükürüm?",,Как я могу появиться на избранных стримах сбоку на сайте?,,Como apareço na seção de transmissões em destaque?,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow?
StreamsFAQ.Q2.Answer,"There is 3 priority tiers in the featured streamers section. The higher priority you are the further ahead in the featured streamers you show. Streams with the same priority are ordered by viewers with some randomness. Only livestreams from twitch show due to youtube not providing an equivalent api.

The lowest priority (that only ever has 3 streams show from) is any gamedev stream on twitch. The medium priority is anyone that has been marked as a streamer on the site (a.k.a streamers who have an account on the d2jam site). The highest priority is streams that use the d2jam tag (to show that they are streaming something related to the jam).

Only streams within the following categories will be shown: Software and Game Development, Art, Co-working & Studying, and Games + Demos.",,"Ci sono 3 livelli di priorità nella sezione degli streamer in evidenza. Più alta è la tua priorità, più avanti comparirai nell'elenco. Gli stream con la stessa priorità sono ordinati in base al numero di spettatori, con una certa casualità. Vengono mostrate solo le dirette di Twitch, in quanto YouTube non fornisce un'API equivalente.

La priorità più bassa (che mostra solo 3 stream) è per qualsiasi stream di sviluppo di giochi su Twitch. La priorità media è per chiunque sia stato segnato come streamer sul sito (ovvero gli streamer che hanno un account sul sito di D2Jam). La priorità più alta è per gli stream che usano il tag d2jam (per mostrare che stanno trasmettendo qualcosa relativo alla jam).

Verranno mostrati solo gli stream che rientrano nelle seguenti categorie: Software and Game Development, Art, Co-working & Studying, e Games + Demos.",,,"Burada 3 öncelik aşaması bulunur. En yüksek önceliğe sahipseniz diğer yayıncılardan önde gösterilirsiniz.
Aynı önceliğe sahip yayınlar arasında rasgele seçim yapılır. Youtube bir API sağlamadığı için şimdilik sadece Twitch yayınlarını çekebiliyoruz.

En düşük öncelik yayının Twitch'te herhangi bir Yazılım ve Oyun Geliştirme yayını olmasıdır.
Orta öncelik ise yayıncının s2jam sayfasında yayıncı olarak işaretlenmiş olmasıdır(yayıncının d2jam web sitesinde bir hesabı olmalı). En yüksek öncelik ise yayının #d2jam tag'ine sahip olmasıdır.

Sadece aşağıdaki kategorilerdeki yayınlar dikkate alınır:
Yazılım ve Oyun Geliştirme, Sanat, Ortak Çalışma ve Ders Çalışma, Games + Demos",,"В разделе «Рекомендуемые стримеры» есть 3 уровня приоритета. Чем выше ваш приоритет, тем выше вы отображаетесь в списке. Потоки с одинаковым приоритетом упорядочиваются по количеству зрителей с элементом случайности. Отображаются только стримы с Twitch, так как YouTube не предоставляет эквивалентное API.

Низший приоритет (из которого показываются только 3 стрима) — любой стрим по разработке игр на Twitch.

Средний приоритет — все, кто отмечен как стример на сайте (т. е. стримеры с аккаунтом на d2jam).

Высший приоритет — стримы с тегом d2jam (чтобы показать, что стрим связан с джемом).

Отображаются только стримы в следующих категориях: Software and Game Development, Art, Co-working & Studying, Games + Demos.",,"Tem 3 níveis de prioridade na seção de transmissões em destaque. Quanto maior a prioridade, mais acima aparecerá na seção. Apenas transmissões da Twitch aparecem, por causa do Youtube não provir uma API equivalent.

A menor prioridade (que só aparece 3 transmissões) é qualquer transmissão de desenvolvimento de jogo na Twitch. A prioridade média é qualquer um que foi marcado como Streamer no site (ou seja, streamers que têm uma conta no site D2Jam). A maior prioridade é transmissões que usam o marcador d2jam (para demonstrar que você está transmitindo algo relacionado ao jam).

Apenas transmissões nas seguintes categorias aparecerão: Desenvolvimento de jogos e software, Arte, Estudo e Trabalho em Conjunto, e Jogos + Demos.",,,"Meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow.

Meow meow meow (meow meow meow meow meow meow meow meow) meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow (meow.meow.meow meow meow meow meow meow meow meow meow meow). Meow meow meow meow meow meow meow meow meow meow (meow meow meow meow meow meow meow meow meow meow meow).

Meow meow meow meow meow meow meow meow meow: meow meow meow meow, meow, meow-meow & meow, meow meow + meow."
StreamsFAQ.Q3.Number,Q3,,D3,,,S3,,В3,,P3,,,Meow
StreamsFAQ.Q3.Question,How can I be marked as a streamer on the site?,,Come posso essere segnato come streamer sul sito?,,,Web sitesinde nasıl yayıncı olarak işaretlenirim?,,Как я могу быть отмечен как стример на сайте?,,Como posso ser marcado como Streamer no site?,,,Meow meow meow meow meow meow meow meow meow meow meow?
StreamsFAQ.Q3.Answer,For now just let Ategon know your d2jam username and your twitch account.,,"Per ora, basta far sapere ad Ategon il tuo nome utente di D2Jam e il tuo account Twitch.",,,Şimdilik Ategon'a d2jam kullanıcı adınızı ve twitch hesabınızı bildirin.,,На данный момент просто сообщите Ategon ваше имя пользователя на d2jam и аккаунт Twitch.,,"Por enquanto, só avise Ategon do seu nome de usuário e conta da Twitch.",,,Meow meow meow meow meow meow meow meow meow meow meow meow meow.
StreamsFAQ.Q4.Number,Q4,,D4,,,S4,,В4,,,,,Meow
StreamsFAQ.Q4.Question,How can I let people know about my stream?,,Come posso far sapere alla gente del mio stream?,,,İnsanlara yayınımı nasıl bildirebilirim?,,Как я могу оповестить людей о моем стриме?,,,,,Meow meow meow meow meow meow meow meow meow?
StreamsFAQ.Q4.Answer,The site has a built in event system that shows upcoming and active events. If you are marked as a streamer you can go to the events page and then add a new event for your stream to make it show there. The events are located in the sidebar.,,"Il sito ha un sistema di eventi integrato che mostra gli eventi imminenti e quelli attivi. Se sei stato segnato come streamer, puoi andare sulla pagina degli eventi e aggiungere un nuovo evento per il tuo stream in modo che venga mostrato lì. Gli eventi si trovano nella barra laterale.",,,"Gelecek etkinlikler ve aktif etkinlikler için sitenin özel bir bölümü bulunmaktadır.
Eğer sitede işaretlenmiş bir yayıncıysanız, etkinlikler sayfasına gidip yeni bir etkinlik ekleyebilirsiniz.
Etkinlikler sitenin sağ tarafında yer alır.",,"На сайте есть встроенная система событий, которая отображает предстоящие и текущие мероприятия. Если вы отмечены как стример, вы можете перейти на страницу событий и добавить новое событие для своего стрима, чтобы оно отображалось там. События расположены в боковой панели.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow.
MetaFAQ.Title,Meta FAQ,,FAQ Meta,,,Meta S.S.S,,Мета ФАГ,,,,,Meow meow
MetaFAQ.Description,Questions relating to the organization of the jam,,Domande relative all'organizzazione della jam,,,Jam'in organizasyonu hakkında sorular,,Вопросы по организаторам джема,,,,,Meow meow meow meow meow meow meow meow
MetaFAQ.Q1.Number,Q1,,D1,,,S1,,В1,,,,,Meow
MetaFAQ.Q1.Question,Who is organizing the jam?,,Chi organizza la jam?,,,Jam'i kim organize ediyor?,,Кто организует джем?,,,,,Meow meow meow meow meow?
MetaFAQ.Q1.Answer,"The jam is organized primarily by a group of 11 people who make sure things run smoothly and who run things like the social media accounts for the jam for marketing. Decisions however are typically voted on by the community to let the community control how the jam is run and anybody is free to start running something related to the jam such as a tournament, community keynote, or other event.

The 11 core organizers are Ategon, Badcop, FunBaseAlpha, Pomo, Rincs, Aeron, itsBoats, Brainoid, HonestDan, Kuviman, and Tobugis.",,"La jam è organizzata principalmente da un gruppo di 11 persone che si assicurano che tutto funzioni senza intoppi e che gestiscono cose come gli account social media per il marketing della jam. Tuttavia, le decisioni sono tipicamente votate dalla comunità per lasciare che sia la comunità a controllare come la jam viene gestita, e chiunque è libero di iniziare a gestire qualcosa relativo alla jam, come un torneo, un evento principale della comunità, o un altro evento.

Gli 11 organizzatori principali sono Ategon, Badcop, FunBaseAlpha, Pomo, Rincs, Aeron, itsBoats, Brainoid, HonestDan, Kuviman, e Tobugis.",,,"Jam her şeyin düzgün yürütülebilmesi için 11 kişlilik bir öncü grup tarafından organize ediliyor.
Topluluğun Jam'in nasıl işleyeceğine düzgün etki edebilmesi için kararlar alınırken genelde topluluğa sorularak hareket edilir. Herhangi biri jam için turnuva, keynote vebazı etkinlikler düzenleyebilir.
Çekirdek 11 kişi şöyledir:
Ategon, Badcop, FunBaseAlpha, Pomo, Rincs, Aeron, itsBoats, Brainoid, HonestDan, Kuviman, ve Tobugis.",,"Джем в основном организуется группой из 11 человек, которые следят за тем, чтобы всё проходило гладко, и управляют, например, аккаунтами джема в социальных сетях для маркетинга. Однако решения обычно принимаются путём голосования со стороны сообщества, чтобы дать сообществу контроль над проведением джема, и любой желающий может начать организовывать что-то, связанное с джемом, например турнир, общую презентацию или другое мероприятие.

11 основных организаторов: Ategon, Badcop, FunBaseAlpha, Pomo, Rincs, Aeron, itsBoats, Brainoid, HonestDan, Kuviman и Tobugis.",,,,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow, meow meow, meow meow meow.

Meow meow meow meow meow meow, meow, meow, meow, meow, meow, meow, meow, meow, meow, meow meow."
MetaFAQ.Q2.Number,Q2,,D2,,,S2,,В2,,,,,Meow
MetaFAQ.Q2.Question,Where are the servers hosted?,,Dove sono ospitati i server?,,,Sunucular nerededir?,,Где находятся сервера?,,,,,Meow meow meow meow meow?
MetaFAQ.Q2.Answer,"The server that hosts the jam is in Canada. In the future various things such as the email service, DNS, etc. will be swapped to have as many Canadian-based technologies as possible.",,"Il server che ospita la jam si trova in Canada. In futuro, vari servizi come il servizio di posta elettronica, il DNS, ecc., saranno modificati per avere il maggior numero possibile di tecnologie basate in Canada.",,,"Sunucularımız Kanada'dadır. İleride ekleyeceğimiz eposta servisleri, DNS, vebazı özelliklerin de Kanada'da olması muhtemeldir.",,"Сервер, на котором размещён джем, находится в Канаде. В будущем различные сервисы, такие как электронная почта, DNS и другие, будут перенесены на канадские технологии, чтобы использовать как можно больше инфраструктуры, базирующейся в Канаде.",,,,,"Meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow, meow, meow. Meow meow meow meow meow meow meow meow-meow meow meow meow."
MetaFAQ.Q3.Number,Q3,,D3,,,S3,,В3,,,,,Meow
MetaFAQ.Q3.Question,How can I donate to the jam?,,Come posso fare una donazione per la jam?,,,Jam'e nasıl bağış yaparım,,Как задонатить на джем?,,,,,Meow meow meow meow meow meow meow?
MetaFAQ.Q3.Answer,There is currently no way to donate to the jam but it will be made in the future once it gets popular enough that it makes sense to spend the funds to make a non-profit for the jam.,,"Al momento non c'è un modo per donare alla jam, ma verrà creato in futuro quando diventerà abbastanza popolare da giustificare i fondi per creare un'organizzazione no-profit per la jam.",,,Henüz jam'e bağış yapmanız mümkün değildir ama ileride Bağış sayfamızı açacağız.,,"В данный момент нет возможности пожертвовать средства на джем, но она будет добавлена в будущем, когда джем станет достаточно популярным, чтобы имело смысл тратить средства на создание некоммерческой организации для поддержки джема.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow-meow meow meow meow.
MetaFAQ.Q4.Number,Q4,,D4,,,S4,,В4,,,,,Meow
MetaFAQ.Q4.Question,How can I help code the site?,,Come posso aiutare a programmare il sito?,,,Sitenin koduna nasıl yardım edebilirim?,,Могу ли я помочь с кодом сайта?,,,,,Meow meow meow meow meow meow meow?
MetaFAQ.Q4.Answer,The site is currently open source with the repositories available in our github organization. Jamcore is the backend of the site while jamjar is the frontend. Each repository has instructions on how to set it up locally and a project board with tasks that need to be made for the site. If you have any questions relating to contributing feel free to chat in the site development channel in our discord.,,"Il sito è attualmente open source, con repository disponibili nella nostra organizzazione GitHub. Jamcore è il backend del sito, mentre jamjar è il frontend. Ogni repository ha istruzioni su come configurarla localmente e una board di progetto con i compiti che devono essere realizzati per il sito. Se hai domande a riguardo, sentiti libero di chattare nel canale di sviluppo del sito sul nostro Discord.",,,"Websitesi şu anda açık kaynak kodlu ve github'da kodlarımız ulaşılır haldedir. Jamcore sitenin backend'i, jamjar ise frontend'idir. Her iki repo'da da lokal olarak sitenin nasıl kurulacağına dair direktifler mevcuttur.
Herhangi bir sorunuz olursa discord'da #site-development kanalına sorabilirsiniz.",,"Сайт в настоящее время является проектом с открытым исходным кодом, репозитории доступны в нашей организации на GitHub. Jamcore — это бэкенд сайта, а Jamjar — фронтенд. В каждом репозитории есть инструкции по локальной настройке и доска проекта с задачами, которые необходимо выполнить для сайта. Если у вас есть вопросы по поводу участия в разработке, не стесняйтесь писать в канал по разработке сайта на нашем сервере Discord.",,,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow.
MetaFAQ.Q5.Number,Q5,,D5,,,S5,,В5,,,,,Meow
MetaFAQ.Q5.Question,Where can I report a bug?,,Dove posso segnalare un bug?,,,Hataları nereye rapor edebilirim?,,Где я могу доложить о баге?,,,,,Meow meow meow meow meow meow?
MetaFAQ.Q5.Answer,"You can currently reports bugs in our code repositories until a bug report feature is built into the site itself. You click on the relevant repository (e.g. if its a frontend issue you would go to Jamjar), go to the issues tab, and then create a new issue.",,"Attualmente puoi segnalare i bug nelle nostre repository di codice fino a quando una funzione di segnalazione bug non sarà integrata nel sito stesso. Devi cliccare sulla repository pertinente (ad esempio, se è un problema del frontend, vai su Jamjar), andare nella scheda ""Issues"" e creare una nuova issue.",,,"Siteye bir hata bildirimi desteği getirene kadar şimdilik hataları kod repo'larımıza bildirebilirsiniz.
Alakalı repository'e gidip Issues kısmından yeni bir hata bildirimi ekleyebilirsiniz.",,"В данный момент вы можете сообщать об ошибках в наших репозиториях кода до того, как функция отчёта о багах будет добавлена на сам сайт. Для этого перейдите в соответствующий репозиторий (например, если это проблема с фронтендом, откройте репозиторий Jamjar), затем вкладку Issues и создайте новую запись об ошибке.",,,,,"Meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow meow. Meow meow meow meow meow meow (meow.meow. Meow meow meow meow meow meow meow meow meow meow), meow meow meow meow meow, meow meow meow meow meow meow."
MetaFAQ.Q6.Number,Q6,,D6,,,S6,,В6,,,,,Meow
MetaFAQ.Q6.Question,How often does the jam happen?,,Quanto spesso si tiene la jam?,,,Jam ne kadar sıklıkla gerçekleşiyor?,,Как часто проходит джем?,,,,,Meow meow meow meow meow meow?
MetaFAQ.Q6.Answer,"The jam happens twice a year, typically around 6 months apart.",,"La jam si svolge due volte all'anno, tipicamente a circa 6 mesi di distanza l'una dall'altra.",,,"Jam senede iki kez, çoğunlukla birbirinden 6 ay arayla gerçekleşir.",,"Джем проходит два раза в год, обычно каждые 6 месяцев",,,,,"Meow meow meow meow meow meow, meow meow meow meow meow."
JamHeader.Suggestions,Go to Theme Suggestions,,"Vai a ""Suggerimenti Tema""",,,Tema Gönderimi'ne Git,,Перейти к Предложению Темы,,Ir para Sugestões de Temas,,,Meow meow meow meow
JamHeader.Elimination,Go to Theme Elimination,,"Vai a ""Eliminazione Tema""",,,Tema Eliminasyonu'na Git,,Перейти к Устранению Темы,,Ir para Eliminação de Tema,,,Meow meow meow meow
JamHeader.Voting,Go to Theme Voting,,"Vai a ""Votazione Tema""",,,Tema Oylaması'na Git,,Перейти к Избиранию Темы,,Ir para Votação de Tema,,,Meow meow meow meow
JamHeader.JamSoon,Theme will be revealed on jam start,,Il tema sarà svelato all'inizio della jam,,,Jam başlarken tema görünür olacaktır,,Тема будет объявлена в начале джема,,Tema será revelado no começo do jam,,,Meow meow meow meow meow meow meow
JamHeader.NoTheme,No top-scoring theme available,,Nessun tema con il punteggio più alto disponibile,,,Seçilebilmiş bir tema yoktur,,Нет доступных топовых тем,,Sem tema mais votado disponível,,,Meow meow-meow meow meow
JamHeader.Submissions,Submissions close soon,,Le consegne si chiuderanno presto,,,Gönderimler yakında kapanıyor,,Подача скоро закроется,,Envios fecharam em breve,,,Meow meow meow
JamHeader.Rate,Go rate games!,,Vai a valutare i giochi!,,,Hadi oyunları oylayın!,,Оценивайте игры!,,Vá avaliar jogos!,,,Meow meow meow!
Stats.Timer,Jam starts in,,La jam inizia tra,,,Jam başlama zamanı:,,Джем начинается через,,Jam começa em,,,Meow meow meow
Stats.Entrants,Entrants,,Partecipanti,,,Katılımcılar,,Участники,,Participantes,,,Meow
Stats.Games,Games,,Giochi,,,Oyunlar,,Игры,,Jogos,,,Meow
Stats.Ratings,Ratings,,Valutazioni,,,Oylamalar,,Рейтинги,,Avaliações,,,Meow
SidebarGames.Title,Featured Games,,Giochi in evidenza,,,Öne Çıkan Oyunlar,,Рекомендуемые Игры,,Jogos Em Destaque,,,Meow meow
SidebarGames.Link,To Games Page,,Pagina dei giochi,,,Oyunlar Sayfası'na Git,,К Играм,,Para Página De Jogos,,,Meow meow meow
SidebarMusic.Title,Featured Music,,Musica in evidenza,,,Öne Çıkan Müzikler,,Рекомендуемая Музыка,,Músicas Em Destaque,,,Meow meow
SidebarMusic.Link,To Music Page,,Pagina della musica,,,Müzik Sayfası'na Git,,К Музыке,,Para Página De Músicas,,,Meow meow meow
SidebarEvents.Active.Title,Active Events,,Eventi attivi,,,Aktif Etkinlikler,,Активные События,,Eventos Ativos,,,Meow meow
SidebarEvents.Upcoming.Title,Upcoming Events,,Eventi in arrivo,,,Gelecek Etkinlikler,,Престоящие События,,Eventos Próximos,,,Meow meow
SidebarEvents.Link,To Events Page,,Pagina degli eventi,,,Etkinlikler Sayfası'na Git,,К Событиям,,Para Página De Eventos,,,Meow meow meow
ThemeSuggestions.YourSuggestions.Title,Your Suggestions,,I tuoi suggerimenti,,,Önerileriniz,,Ваши Предложения,,Suas Sugestões,,,Meow meow
ThemeSuggestions.YourSuggestions.Description,Themes you have submitted to the voting rounds,,Temi che hai inviato per i turni di votazione,,,Oylama turu için gönderdiğiniz temalar,,"Темы, которые вы подали на голосование",,Temas que você enviou para a rodada de votação,,,Meow meow meow meow meow meow meow meow
ThemeSuggestions.PastSuggestions.Title,Past Suggestions,,Suggerimenti passati,,,Önceki Temalarınız,,Прошлые Предложения,,Sugestões Prévias,,,Meow meow
ThemeSuggestions.PastSuggestions.Description,Themes you have submitted to the previous jam,,Temi che hai inviato per la jam precedente,,,Önceki Jam'lere gönderdiğniz temalar,,Темы. которые вы предлагали на предыдущем джеме,,Temas que você enviou para o jam prévio,,,Meow meow meow meow meow meow meow meow
ThemeSuggestions.Edit.Title,Edit,,Modifica,,,Düzenle,,Редактировать,,Editar,,,Meow
ThemeSuggestions.Edit.Description,Edit the theme suggestion,,Modifica il suggerimento del tema,,,Tema önerisini düzenle,,Редактировать предложенную тему,,Editar a sugestão de tema,,,Meow meow meow meow
ThemeSuggestions.Delete.Title,Delete,,Elimina,,,Sil,,Удалить,,Deletar,,,Meow
ThemeSuggestions.Delete.Description,Delete the theme suggestion,,Elimina il suggerimento del tema,,,Tema önerisini sil,,Удалить предложенную тему,,Deletar a sugestão de tema,,,Meow meow meow meow
ThemeSuggestions.Conflict,That suggestion cannot be used (it likely has been used recently for another jam).,,Questo suggerimento non può essere usato (probabilmente è stato usato di recente per un'altra jam),,,Bu öneri kullanılamaz(muhtemelen başka bir yakın jam'de kullanıldı),,Это предложение нельзя использовать (вероятно использовалось на предыдущем джеме),,Essa sugestão não pode ser usada (provavelmente foi usada recentemente por outro jam).,,,Meow meow meow meow meow (meow meow meow meow meow meow meow meow meow).
ThemeSuggestions.Added,Suggestion added successfully!,,Suggerimento aggiunto con successo!,,,Öneri başarıyla eklendi!,,Предложение успешно добавлено!,,Sugestão adicionada com sucesso!,,,Meow meow meow!
ThemeSuggestions.ErrorDeleting,Error deleting suggestion:,,Errore durante l'eliminazione del suggerimento:,,,Öneriyi silerken hata oluştu:,,Ошибка удаления предложенного:,,Erro em deletar sugestão:,,,Meow meow meow:
ThemeSuggestions.FailedDelete,Failed to delete suggestion.,,Impossibile eliminare il suggerimento.,,,Öneri silinemedi.,,Не получилось удалить предложенное.,,Falha ao deletar sugestão.,,,Meow meow meow meow.
ThemeSuggestions.SignIn.Title,Not signed in,,Non hai effettuato l'accesso,,,Giriş yapılmamış,,Не выполнен вход,,Sem conta,,,Meow meow meow
ThemeSuggestions.SignIn.Description,Sign in to be able to suggest themes,,Accedi per poter suggerire temi,,,Tema önerebilmek için siteye giriş yap,,"Войдите, чтобы предлагать темы",,Entre em uma conta para sugerir temas,,,Meow meow meow meow meow meow meow meow
ThemeSuggestions.JoinJam.Title,Join the Jam First,,Unisciti prima alla jam,,,Önce Jam'e Katıl,,Сначала Присоединитесь к Джему,,Entre no Jam Primeiro,,,Meow meow meow meow
ThemeSuggestions.JoinJam.Description,You need to join the current jam before you can suggest themes.,,Devi unirti alla jam attuale prima di poter suggerire temi,,,Tema önermeden önce şu anki jam'e katılmalısınız.,,"Чтобы предлагать темы, нужно присоединиться к джему",,Você precisa entrar no jam atual antes de sugerir temas.,,,Meow meow meow meow meow meow meow meow meow meow meow meow.
ThemeSuggestions.Title,Submit Your Theme Suggestion,,Invia il tuo suggerimento per il tema,,,Tema Önerini Gönder,,Предложите Свою Тему,,Envie Sua Sugestão de Tema,,,Meow meow meow meow
ThemeSuggestions.Description,Submit themes to the voting rounds to possibly be used in the jam,,Invia temi ai turni di votazione per poterli usare nella jam,,,Jam'de kullanılabilecek muhtemel temaları gönder,,"Предложите свою тему на голосование, чтобы возможно она использовалась на джеме",,Envie temas para as rodadas de votação para possivelmente ser usada no jam,,,Meow meow meow meow meow meow meow meow meow meow meow meow meow
ThemeSuggestions.LimitReached,You've reached your theme suggestion limit for this jam!,,Hai raggiunto il tuo limite di suggerimenti per il tema per questa jam!,,,Maksimum yollanabilecek tema sayısına ulaştın!,,Вы достигли максимального количества предложенных тем на этот джем!,,Você atingiu o limite de sugestões de temas para esse jam!,,,Meow'meow meow meow meow meow meow meow meow meow!
ThemeSuggestions.NoExamples,No examples,,Nessun esempio,,,Örnek yok,,Ничего нет,,Sem examplos,,,Meow meow
ThemeSuggestions.NoSuggestions,You haven't submitted any suggestions yet.,,Non hai ancora inviato nessun suggerimento.,,,Henüz bir tema göndermedin.,,Вы пока не предложили ни одной темы.,,Você não enviou sugestões ainda.,,,Meow meow'meow meow meow meow meow.
ThemeSuggestions.Loading.Title,Loading...,,Caricamento...,,,Yükleniyor...,Loading...,Загрузка...,,Carregando...,,,Meow...
ThemeSuggestions.Loading.Description,Getting info from the backend,,Recupero informazioni dal backend,,,Sunucudan bilgi alınıyor,Kinukuha ang impormasyon sa backend,Получаем инфу с бэкенда,,Buscando informação do back-end,,,Meow meow meow meow meow
Themes.Signup,Sign up,,Registrati,,,Üye Ol,Sign up,Зарегистрироваться,,Registrar-se,,,Meow meow
Themes.Login,Login,,Accedi,,,Giriş Yap,Log in,Войти,,Entrar,,,Meow
Phases.ThemeSubmission.Title,Theme Submission,,Proposta Tema,,,Tema Gönderimi,,Предложение Темы,,Envio de Tema,,,Meow meow
Phases.ThemeSubmission.Description,Submitting possible jam themes,,Inviare possibili temi della jam,,,Potansiyel tema gönderim süreci,,Предложите потенциальные темы для джема,,Enviando possíveis temas de jam,,,Meow meow meow meow
Phases.ThemeElimination.Title,Theme Elimination,,Eliminazione Tema,,,Tema Eliminasyonu,,Устранение Темы,,Eliminação de Tema,,,Meow meow
Phases.ThemeElimination.Description,Going through submitted jam themes and voting yes or no to them,,Esaminare i temi della jam inviati e votare sì o no,,,Gönderilen jam temalarına bakıp evet veya hayır diye oylama süreci,,Пройдитесь по предложенным темам и голосуйте Да или Нет за них,,Analisando temas de jam enviados e votando sim ou não,,,Meow meow meow meow meow meow meow meow meow meow meow meow
Phases.ThemeVoting.Title,Theme Voting,,Votazione Tema,,,Tema Oylaması,,Избирание Темы,,Votação do Tema,,,Meow meow
Phases.ThemeVoting.Description,Voting from a list of top themes for the final theme,,Votare da una lista di temi migliori per il tema finale,,,En çok oy alan temaların seçildiği bir listede tek temaya indirmek için oylama süreci,,"Голосуйте за топовые темы, чтобы определить финальную тему",,Votando da lista dos melhores temas para o tema final,,,Meow meow meow meow meow meow meow meow meow meow meow
Phases.GameJam.Title,Game Jam,,Game Jam,,,Game Jam,,Геймджем,,Game Jam,,,Meow meow
Phases.GameJam.Description,The core event! Making a game in a small period of time,,L'evento principale! Realizzare un gioco in un breve periodo di tempo,,,Asıl etkinlik! Kısa bir zamanda oyun çıkarma süreci,,Основное событие! Сделайте игру в короткий срок времени,,O evento principal! Fazendo um jogo em um curto período de tempo,,,Meow meow meow! Meow meow meow meow meow meow meow meow meow
Phases.Rating.Title,Rating Period,,Periodo di Valutazione,,,Oyun Oylaması,,Рейтинговый Период,,Período de Avaliação,,,Meow meow
Phases.Rating.Description,Playing and giving feedback to other people's games,,Giocare e dare feedback ai giochi degli altri,,,Diğer katılımcıların oyunlarını oynayıp onlara yorum atma süreci,,Играйте и оставляйте фидбек под играми других людей,,Jogando e opinando sobre os jogos dos outros,,,Meow meow meow meow meow meow meow'meow meow
Phases.Results.Title,Results,,Risultati,,,Sonuçlar,,Результаты,,Resultados,,,Meow
Phases.Results.Description,Viewing the results of the jam and how you were rated,,Visualizzare i risultati della jam e come si è stati valutati,,,Diğer oyunların sonuçlarını ve senin oyununun derecesini gör,,Посмотрите результаты с джема и свой рейтинг,,Vendo os resultados do jam e como você foi avaliado,,,Meow meow meow meow meow meow meow meow meow meow meow
Phases.PostRating.Title,Post Jam Rating Period,,Periodo di Valutazione Post-Jam,,,Jam Sonrası Oylama Süreci,,Пост Джемовый Рейтинговый Период,,Período de Avaliação Pós Jam,,,Meow meow meow meow
Phases.PostRating.Description,Playing and giving feedback to other people's post jam improvements,,Giocare e dare feedback ai miglioramenti post-jam fatti dagli altri,,,Diğer katılımcıların post jam versiyonlarını oynayıp yorum atma süreci,,Играйте и оставляйте фидбек под играми других людей после их улучшения в пост джеме,,Jogando e opinando sobre as melhoras pós jam dos outros,,,Meow meow meow meow meow meow meow'meow meow meow meow
Phases.PostResults.Title,Post Jam Results,,Risultati Post-Jam,,,Post Jam Sonuçları,,Пост Джем Результаты,,Resultados do Pós Jam,,,Meow meow meow
